pubmed_id,disease,figure_index,figure_type,file_path,caption,clinical_relevance,extracted_at,source_pdf
10115472,Sjogrens,2,histology,data/cv/figures/10115472/2.png,FIGURE 1: Low-power view showing salivary gland lobules with,unknown,2026-05-18T00:05:46.044510+00:00,data/cv/pdfs/PMID_10115472.pdf
10115472,Sjogrens,3,histology,data/cv/figures/10115472/3.png,FIGURE 2: High-power view showing the ductal cells of the salivary,unknown,2026-05-18T00:05:46.103135+00:00,data/cv/pdfs/PMID_10115472.pdf
10224699,MCTD,2,histology,data/cv/figures/10224699/2.png,FIGURE 1: Histopathology of the renal biopsy,unknown,2026-05-18T00:05:46.182826+00:00,data/cv/pdfs/PMID_10224699.pdf
10224699,MCTD,4,histology,data/cv/figures/10224699/4.png,FIGURE 2: The immunofluorescence examination,unknown,2026-05-18T00:05:46.255593+00:00,data/cv/pdfs/PMID_10224699.pdf
10375769,Sjogrens,1,other,data/cv/figures/10375769/1.png,"Fig. 1  MR images of the orbit. A. T1-weighted images (T1WIs) of the orbital transection showing bilateral lacrimal glands moved forward and no ab­ normalities in the eyelids, extraocular muscles, nerves, or other tissues. B. Transverse orbital T2WIs showing bilateral lacrimal glands moved forward. C.  Coronal T1WIs of the orbits showing bilateral lacrimal glands prolapse. D. Enhanced orbital scan showing bilateral lacrimal glands prolapse",unknown,2026-05-18T00:05:46.374323+00:00,data/cv/pdfs/PMID_10375769.pdf
10375769,Sjogrens,2,histology,data/cv/figures/10375769/2.png,Fig. 2  Pathological results and immunohistochemical staining of lacrimal gland lesions. A. Lymphocytes infiltration and lacrimal gland atrophy in the  lesion (×100). B. Lymphocytes and plasma cells infiltration and atrophy of the lacrimal gland acini in the lesion (×200). C. Immunohistochemical staining  for CD20 showed non-diffuse positivity of B cells. D. IgG4 expression was negative,unknown,2026-05-18T00:05:46.540532+00:00,data/cv/pdfs/PMID_10375769.pdf
10853674,SLE,2,other,data/cv/figures/10853674/2.png,"FIGURE 1 Brain imaging revealed a low‐density lesion in the left basal ganglia and parietal lobe (A, white arrowhead) with patchy, slight enhancement (B). CT perfusion imaging and CT angiography indicated a mild decrease in cerebral blood flow (CBF), prolonged time to peak (TTP), and mean transit time (MTT) in the corresponding region. The local and distal branches of the left middle cerebral artery (M1 segment) were not visualized (C–H, white triangles).",unknown,2026-05-18T00:05:46.712483+00:00,data/cv/pdfs/PMID_10853674.pdf
10853674,SLE,5,other,data/cv/figures/10853674/5.png,"FIGURE 2 In the left basal ganglia region, small patchy areas with slightly prolonged T1 and slightly shortened T2 signal intensities are observed (A, B, white arrows). On FLAIR imaging, this area exhibits high signal intensity with blurred margins (C, white arrows). Diffusion‐ weighted imaging (DWI) shows high signal intensity within this region (D, white arrows), and the corresponding ADC map shows reduced signal (E, white arrows). No abnormalities were detected on head MRA (F). ADC, apparent diffusion coefficient; MRA, magnetic resonance angiography.",unknown,2026-05-18T00:05:46.782247+00:00,data/cv/pdfs/PMID_10853674.pdf
10853674,SLE,7,other,data/cv/figures/10853674/7.png,"FIGURE 3 Nodular, slightly elongated T1 and T2 signal intensities are observed in the right semioval center and frontal lobe white matter (A, B, white arrows). There is slight hyperintensity on FLAIR imaging (C, white arrows), and diffusion‐weighted imaging (DWI) shows high signal intensity (D, white arrows).",unknown,2026-05-18T00:05:46.859612+00:00,data/cv/pdfs/PMID_10853674.pdf
10965447,SLE,0,rash_image,data/cv/figures/10965447/0.png,,unknown,2026-05-18T00:05:47.014694+00:00,data/cv/pdfs/PMID_10965447.pdf
10965447,SLE,1,rash_image,data/cv/figures/10965447/1.png,"FIGURE 3  Multiple papules and  target lesions of varying shapes over  dorsum of hands and forearms during  presentation, 3 weeks and 6 weeks after  the initiation of treatment respectively.",unknown,2026-05-18T00:05:47.128359+00:00,data/cv/pdfs/PMID_10965447.pdf
10965447,SLE,2,rash_image,data/cv/figures/10965447/2.png,"FIGURE 4  Skin biopsy section revealing areas of ulceration,  follicular plugging, mixed inflammatory cells exocytosis, edematous  and hemorrhagic dermis with thrombi formation suggestive of  inflammatory dermatoses.",unknown,2026-05-18T00:05:47.265389+00:00,data/cv/pdfs/PMID_10965447.pdf
10965447,SLE,3,histology,data/cv/figures/10965447/3.png,"FIGURE 4  Skin biopsy section revealing areas of ulceration,  follicular plugging, mixed inflammatory cells exocytosis, edematous  and hemorrhagic dermis with thrombi formation suggestive of  inflammatory dermatoses.",unknown,2026-05-18T00:05:47.334462+00:00,data/cv/pdfs/PMID_10965447.pdf
8943239,SLE,2,rash_image,data/cv/figures/8943239/2.png,Figure 2. Vasculitis spots over palms. Written informed consent for publication of  this image was obtained from the patient.,unknown,2026-05-18T00:05:47.528792+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,3,rash_image,data/cv/figures/8943239/3.png,Figure 1. Hyperpigmented atrophic lesions with scarring of the malar distribution  over the cheek and nose (butterfly rash) (A) and arm (B). Written informed consent  for publication of this image was obtained from the patient.,unknown,2026-05-18T00:05:47.583235+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,4,rash_image,data/cv/figures/8943239/4.png,Figure 2. Vasculitis spots over palms. Written informed consent for publication of  this image was obtained from the patient.,unknown,2026-05-18T00:05:47.671220+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,5,rash_image,data/cv/figures/8943239/5.png,Figure 1. Hyperpigmented atrophic lesions with scarring of the malar distribution  over the cheek and nose (butterfly rash) (A) and arm (B). Written informed consent  for publication of this image was obtained from the patient.,unknown,2026-05-18T00:05:47.712118+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,6,histology,data/cv/figures/8943239/6.png,,unknown,2026-05-18T00:05:47.836274+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,7,histology,data/cv/figures/8943239/7.png,,unknown,2026-05-18T00:05:47.892004+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,8,histology,data/cv/figures/8943239/8.png,"Figure 4. Skin biopsy showed (A) perivascular  and peri-appendageal inflammation (H&E,  ×10), (B) interface changes (H&E, ×40), (C)  melanin incontinence, basal vacuolar  degeneration, apoptotic keratinocyte, and  hyperkeratosis (H&E, ×40), and (D) increase  in dermal mucin (Alcian blue stain, ×40).",unknown,2026-05-18T00:05:47.949520+00:00,data/cv/pdfs/PMID_8943239.pdf
8943239,SLE,9,histology,data/cv/figures/8943239/9.png,"Figure 4. Skin biopsy showed (A) perivascular  and peri-appendageal inflammation (H&E,  ×10), (B) interface changes (H&E, ×40), (C)  melanin incontinence, basal vacuolar  degeneration, apoptotic keratinocyte, and  hyperkeratosis (H&E, ×40), and (D) increase  in dermal mucin (Alcian blue stain, ×40).",unknown,2026-05-18T00:05:48.010394+00:00,data/cv/pdfs/PMID_8943239.pdf
9053354,SLE,2,rash_image,data/cv/figures/9053354/2.png,FIGURE 1: Malar rash with some yellow crusting as well as involvement,unknown,2026-05-18T00:05:48.108039+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,4,rash_image,data/cv/figures/9053354/4.png,FIGURE 2: Patchy scaling rash of the hands consistent with a discoid rash,unknown,2026-05-18T00:05:48.192657+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,5,rash_image,data/cv/figures/9053354/5.png,FIGURE 3: Patchy scaling rash of the abdomen consistent with a discoid rash,unknown,2026-05-18T00:05:48.235173+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,7,other,data/cv/figures/9053354/7.png,FIGURE 4: Ground-glass opacities of the right lower lung lobe noted on,unknown,2026-05-18T00:05:48.335490+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,10,rash_image,data/cv/figures/9053354/10.png,FIGURE 5: Malar rash crusting over and improving after methylprednisolone treatment,unknown,2026-05-18T00:05:48.399669+00:00,data/cv/pdfs/PMID_9053354.pdf
9053354,SLE,12,rash_image,data/cv/figures/9053354/12.png,FIGURE 6: Discoid rash of the hands improving after,unknown,2026-05-18T00:05:48.518560+00:00,data/cv/pdfs/PMID_9053354.pdf
9941144,Sjogrens,0,other,data/cv/figures/9941144/0.png,FIGURE 1 Schirmer’s test. Schirmer test of < 5 mm per 5 min (left eye).,unknown,2026-05-18T00:05:48.679129+00:00,data/cv/pdfs/PMID_9941144.pdf
9941144,Sjogrens,1,histology,data/cv/figures/9941144/1.png,"FIGURE 2 Salivary gland biopsy (hematoxylin and eosin). Panel (A) (×40 magniﬁcation) shows multiple labial glandular lobules, local atrophy of individual acini and interstitial ﬁbrosis. Panel (B) (×100 magniﬁcation) shows a lymphocytic focus.",unknown,2026-05-18T00:05:50.152875+00:00,data/cv/pdfs/PMID_9941144.pdf
